DyadID,N,Condition,block,Site,Color,auc,trials_c,Condition_new
60,1,Thermedol,2,1,1,3.864423598,-3.5,1
60,2,Thermedol,2,2,1,0.145680103,-2.5,1
60,3,Thermedol,2,3,1,-0.723048664,-1.5,1
60,4,Thermedol,2,4,1,1.890709961,-0.5,1
60,5,Thermedol,2,4,1,0.160789681,0.5,1
60,6,Thermedol,2,2,1,0.184715913,1.5,1
60,7,Thermedol,2,3,1,-0.091497853,2.5,1
60,8,Thermedol,2,1,1,-0.354897112,3.5,1
61,1,Vaseline,1,4,0,3.864097482,-3.5,0
61,2,Vaseline,1,1,0,-0.090195381,-2.5,0
61,3,Vaseline,1,4,0,-0.454651864,-1.5,0
61,4,Vaseline,1,1,0,0.734788142,-0.5,0
61,5,Vaseline,1,2,0,0.201700748,0.5,0
61,6,Vaseline,1,3,0,0.427227165,1.5,0
61,7,Vaseline,1,3,0,0.072920908,2.5,0
61,8,Vaseline,1,2,0,1.733180081,3.5,0
61,1,Thermedol,2,4,1,-0.775002726,-3.5,1
61,2,Thermedol,2,1,1,-4.168739235,-2.5,1
61,3,Thermedol,2,4,1,4.260592746,-1.5,1
61,4,Thermedol,2,1,1,-0.181986279,-0.5,1
61,5,Thermedol,2,2,1,-2.473083953,0.5,1
61,6,Thermedol,2,3,1,3.82693991,1.5,1
61,7,Thermedol,2,3,1,-1.629265243,2.5,1
61,8,Thermedol,2,2,1,-0.970341403,3.5,1
62,1,Vaseline,1,2,1,2.816851846,-3.5,0
62,2,Vaseline,1,3,1,0.683932536,-2.5,0
62,3,Vaseline,1,1,1,2.965521806,-1.5,0
62,4,Vaseline,1,1,1,0.994608652,-0.5,0
62,5,Vaseline,1,2,1,1.504868805,0.5,0
62,6,Vaseline,1,4,1,1.055944076,1.5,0
62,7,Vaseline,1,3,1,0.260763811,2.5,0
62,8,Vaseline,1,4,1,2.000880864,3.5,0
62,1,Thermedol,2,2,0,2.506157511,-3.5,1
62,2,Thermedol,2,3,0,-1.263270165,-2.5,1
62,3,Thermedol,2,1,0,0.723385137,-1.5,1
62,4,Thermedol,2,1,0,-0.788293441,-0.5,1
62,5,Thermedol,2,2,0,0.058886358,0.5,1
62,6,Thermedol,2,4,0,0.578978541,1.5,1
62,7,Thermedol,2,3,0,0.009279728,2.5,1
62,8,Thermedol,2,4,0,-1.967591201,3.5,1
63,1,Vaseline,1,4,1,0.083891808,-3.5,0
63,2,Vaseline,1,3,1,0.020462938,-2.5,0
63,3,Vaseline,1,4,1,0.002413384,-1.5,0
63,4,Vaseline,1,2,1,-0.03854693,-0.5,0
63,5,Vaseline,1,1,1,-0.066123898,0.5,0
63,6,Vaseline,1,2,1,-0.028957586,1.5,0
63,7,Vaseline,1,3,1,-0.042151452,2.5,0
63,8,Vaseline,1,1,1,-0.052160011,3.5,0
63,1,Thermedol,2,4,0,0.136745118,-3.5,1
63,2,Thermedol,2,3,0,0.043610866,-2.5,1
63,3,Thermedol,2,4,0,-0.019846943,-1.5,1
63,4,Thermedol,2,2,0,-0.007265823,-0.5,1
63,5,Thermedol,2,1,0,0.018508245,0.5,1
63,6,Thermedol,2,2,0,-0.007343493,1.5,1
63,7,Thermedol,2,3,0,-0.201805572,2.5,1
63,8,Thermedol,2,1,0,0.023569193,3.5,1
65,1,Vaseline,1,2,1,1.390233375,-3.5,0
65,2,Vaseline,1,4,1,0.730881799,-2.5,0
65,3,Vaseline,1,2,1,0.115347822,-1.5,0
65,4,Vaseline,1,4,1,2.186929832,-0.5,0
65,5,Vaseline,1,3,1,-1.164162122,0.5,0
65,6,Vaseline,1,3,1,2.280976039,1.5,0
65,7,Vaseline,1,1,1,0.009046899,2.5,0
65,8,Vaseline,1,1,1,0.22370505,3.5,0
65,1,Thermedol,2,2,0,-0.545325367,-3.5,1
65,2,Thermedol,2,4,0,1.294050006,-2.5,1
65,3,Thermedol,2,2,0,0.082588061,-1.5,1
65,4,Thermedol,2,4,0,0.042456967,-0.5,1
65,5,Thermedol,2,3,0,-0.038913603,0.5,1
65,6,Thermedol,2,3,0,0.21575827,1.5,1
65,7,Thermedol,2,1,0,-0.042856992,2.5,1
65,8,Thermedol,2,1,0,-0.193326764,3.5,1
67,1,Vaseline,1,1,1,2.926632927,-3.5,0
67,2,Vaseline,1,4,1,0.5038903,-2.5,0
67,3,Vaseline,1,2,1,-1.547774148,-1.5,0
67,4,Vaseline,1,1,1,1.149424107,-0.5,0
67,5,Vaseline,1,3,1,0.771691546,0.5,0
67,6,Vaseline,1,3,1,2.364404386,1.5,0
67,7,Vaseline,1,2,1,-1.013458977,2.5,0
67,8,Vaseline,1,4,1,3.82468019,3.5,0
67,1,Thermedol,2,1,0,0.716144757,-3.5,1
67,2,Thermedol,2,4,0,1.765041313,-2.5,1
67,3,Thermedol,2,2,0,0.782415517,-1.5,1
67,4,Thermedol,2,1,0,-2.100203503,-0.5,1
67,5,Thermedol,2,3,0,0.378043047,0.5,1
67,6,Thermedol,2,3,0,6.790651982,1.5,1
67,7,Thermedol,2,2,0,-0.897257161,2.5,1
67,8,Thermedol,2,4,0,-5.917112789,3.5,1
68,1,Vaseline,1,3,0,4.835305282,-3.5,0
68,2,Vaseline,1,4,0,1.419109496,-2.5,0
68,3,Vaseline,1,1,0,1.803470615,-1.5,0
68,4,Vaseline,1,2,0,0.279107008,-0.5,0
68,5,Vaseline,1,2,0,0.145425347,0.5,0
68,6,Vaseline,1,1,0,1.301121032,1.5,0
68,7,Vaseline,1,3,0,0.310243516,2.5,0
68,8,Vaseline,1,4,0,0.025197982,3.5,0
68,1,Thermedol,2,3,1,0.998450399,-3.5,1
68,2,Thermedol,2,4,1,-0.402223885,-2.5,1
68,3,Thermedol,2,1,1,-0.37226813,-1.5,1
68,4,Thermedol,2,2,1,-0.755111722,-0.5,1
68,5,Thermedol,2,2,1,-0.836566209,0.5,1
68,6,Thermedol,2,1,1,-0.72253788,1.5,1
68,7,Thermedol,2,3,1,-0.311186825,2.5,1
68,8,Thermedol,2,4,1,-0.972999046,3.5,1
70,1,Vaseline,1,4,1,10.52596138,-3.5,0
70,2,Vaseline,1,4,1,-5.002961275,-2.5,0
70,3,Vaseline,1,2,1,10.76624092,-1.5,0
70,4,Vaseline,1,1,1,6.206942605,-0.5,0
70,5,Vaseline,1,2,1,-1.050553404,0.5,0
70,6,Vaseline,1,3,1,-0.230284721,1.5,0
70,7,Vaseline,1,3,1,0.855943459,2.5,0
70,8,Vaseline,1,1,1,6.935049639,3.5,0
70,1,Thermedol,2,4,0,3.108490574,-3.5,1
70,2,Thermedol,2,4,0,-1.88642641,-2.5,1
70,3,Thermedol,2,2,0,0.193859351,-1.5,1
70,4,Thermedol,2,1,0,4.029943076,-0.5,1
70,5,Thermedol,2,2,0,-3.619702246,0.5,1
70,6,Thermedol,2,3,0,0.416611918,1.5,1
70,7,Thermedol,2,3,0,-4.159397096,2.5,1
70,8,Thermedol,2,1,0,-1.931746605,3.5,1
71,1,Vaseline,1,1,1,11.77073856,-3.5,0
71,2,Vaseline,1,4,1,10.70739928,-2.5,0
71,3,Vaseline,1,3,1,8.071926281,-1.5,0
71,4,Vaseline,1,4,1,3.323588377,-0.5,0
71,5,Vaseline,1,2,1,4.611018153,0.5,0
71,6,Vaseline,1,2,1,1.383047995,1.5,0
71,7,Vaseline,1,1,1,4.873152483,2.5,0
71,8,Vaseline,1,3,1,5.162388763,3.5,0
71,1,Thermedol,2,1,0,5.45957421,-3.5,1
71,2,Thermedol,2,4,0,2.409949852,-2.5,1
71,3,Thermedol,2,3,0,1.245064697,-1.5,1
71,4,Thermedol,2,4,0,-0.842298009,-0.5,1
71,5,Thermedol,2,2,0,0.418351616,0.5,1
71,6,Thermedol,2,2,0,-0.976855475,1.5,1
71,7,Thermedol,2,1,0,3.50404335,2.5,1
71,8,Thermedol,2,3,0,-2.168587768,3.5,1
72,1,Vaseline,1,4,1,5.747960151,-3.5,0
72,2,Vaseline,1,4,1,0.161850628,-2.5,0
72,3,Vaseline,1,2,1,0.676674091,-1.5,0
72,4,Vaseline,1,1,1,0.150934261,-0.5,0
72,5,Vaseline,1,3,1,-0.01214892,0.5,0
72,6,Vaseline,1,2,1,0.009719228,1.5,0
72,7,Vaseline,1,1,1,-2.854745153,2.5,0
72,8,Vaseline,1,3,1,-1.567053192,3.5,0
72,1,Thermedol,2,4,0,1.640135294,-3.5,1
72,2,Thermedol,2,4,0,-0.639875251,-2.5,1
72,3,Thermedol,2,2,0,-0.536428688,-1.5,1
72,4,Thermedol,2,1,0,0.15969963,-0.5,1
72,5,Thermedol,2,3,0,-0.004990343,0.5,1
72,6,Thermedol,2,2,0,-0.371268156,1.5,1
72,7,Thermedol,2,1,0,0.315069778,2.5,1
72,8,Thermedol,2,3,0,0.166252233,3.5,1
73,1,Vaseline,1,1,0,2.531883388,-3.5,0
73,2,Vaseline,1,3,0,5.402932744,-2.5,0
73,3,Vaseline,1,1,0,3.585422471,-1.5,0
73,4,Vaseline,1,2,0,0.0350507,-0.5,0
73,5,Vaseline,1,3,0,0.682423789,0.5,0
73,6,Vaseline,1,2,0,0.661545929,1.5,0
73,7,Vaseline,1,4,0,2.085459825,2.5,0
73,8,Vaseline,1,4,0,2.595266868,3.5,0
73,1,Thermedol,2,1,1,0.428229158,-3.5,1
73,2,Thermedol,2,3,1,5.122085448,-2.5,1
73,3,Thermedol,2,1,1,0.306074202,-1.5,1
73,4,Thermedol,2,2,1,1.11959096,-0.5,1
73,5,Thermedol,2,3,1,3.189077004,0.5,1
73,6,Thermedol,2,2,1,0.895319016,1.5,1
73,7,Thermedol,2,4,1,1.691301765,2.5,1
73,8,Thermedol,2,4,1,1.342162331,3.5,1
