Role,DyadID,Site,Current_Color,Current pain,Condition,Trials,Counterbalance,Temperature,Condition_new,Experimenter,Block,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
2,6,1,0,46,Vaseline,6,2,0,0,1,1,-0.057355112,-0.048254035,-0.023028394,0.002849996,0.010824963,0.018842256,0.031276885,0.033826073,0.026869919,0.016175428,0.00490236,-0.007299759,-0.019725392,-0.030797537,-0.036661281,-0.039760656
2,6,4,0,46,Vaseline,7,2,0,0,1,1,-0.017219855,-0.009396952,0.004293363,0.00575248,0.007636734,0.026377371,0.052327356,0.071771072,0.077391359,0.073043264,0.066119956,0.058574219,0.059937985,0.065253351,0.060896966,0.055134751
2,6,3,0,46,Vaseline,8,2,0,0,1,1,-0.040640048,-0.04371014,-0.049709606,-0.057381049,-0.061359575,-0.046447532,-0.031971236,-0.029720623,-0.032608004,-0.038054676,-0.031790333,0.005035073,0.032359689,0.041331373,0.04861458,0.056682626
2,6,1,1,46,Thermedol,1,2,0,1,1,2,0.001062576,0.005163223,0.028839616,0.043908759,0.046439762,0.046032371,0.049199765,0.049549633,0.04321274,0.039273323,0.044091888,0.048046137,0.048799934,0.045084788,0.039481645,0.031974978
2,6,2,1,46,Thermedol,2,2,0,1,1,2,-0.042622896,-0.043652006,-0.034712023,-0.01402644,-0.004150277,-0.000188851,0.003144307,0.000874098,-0.005018568,-0.012286903,-0.018744506,-0.023842237,-0.031270972,-0.036540959,-0.031371276,-0.024139369
2,6,4,1,46,Thermedol,3,2,0,1,1,2,-0.048111191,-0.034314509,-0.028835355,-0.028817525,-0.030620953,-0.036154989,-0.043800607,-0.052076294,-0.059922749,-0.063632998,-0.063524095,-0.060410715,-0.043174117,-0.02297609,0.004349113,0.039243458
2,6,3,1,46,Thermedol,4,2,0,1,1,2,-0.01195989,-0.018037591,-0.023018001,-0.028470047,-0.032596767,-0.029640471,-0.020592169,-0.010659792,-0.006843706,-0.008776951,-0.011526001,-0.005008091,-0.000311062,0.001126098,0.000850693,-0.00303096
2,6,2,1,46,Thermedol,5,2,0,1,1,2,0.095376877,0.087809716,0.073532328,0.056629618,0.038457481,0.024296839,0.017431286,0.016104369,0.021741899,0.028865374,0.029897286,0.029638568,0.032452501,0.031908087,0.027276915,0.020451346
2,6,1,1,46,Thermedol,6,2,0,1,1,2,-0.022046576,-0.031498302,-0.033629712,-0.03039475,-0.029794267,-0.032728475,-0.034726593,-0.028669939,-0.019554409,-0.01602032,-0.013343642,-0.011539395,-0.007346014,0.003771251,0.008449464,0.004720349
2,6,4,1,46,Thermedol,7,2,0,1,1,2,-0.015931199,-0.015878977,-0.016828354,-0.020013722,-0.023249905,-0.02518454,-0.031113051,-0.038590611,-0.04068789,-0.036562267,-0.032278432,-0.029059024,-0.031676518,-0.038736692,-0.048075132,-0.058875073
2,6,3,1,46,Thermedol,8,2,0,1,1,2,-0.114893981,-0.089195222,-0.070072048,-0.065674234,-0.063077259,-0.061843059,-0.072092153,-0.088301959,-0.107367618,-0.126559151,-0.146154657,-0.159066022,-0.17293968,-0.188727361,-0.205481163,-0.225344636
2,8,2,1,46,Vaseline,1,2,0,0,1,1,-0.069343765,-0.129078229,-0.176379787,-0.11448542,0.200449525,0.391885273,0.409946005,0.312728961,0.200484884,0.117015092,0.055859198,0.013931175,-0.004254475,-0.019975767,-0.040721056,-0.054375915
2,8,1,1,46,Vaseline,2,2,0,0,1,1,0.257526282,0.421071514,0.415674186,0.319110694,0.214123528,0.137360057,0.082799535,0.044788954,0.017687709,-0.001432783,-0.017251289,-0.030608937,-0.040607191,-0.049220602,-0.057702018,-0.065798944
2,8,3,1,46,Vaseline,4,2,0,0,1,1,-0.13877348,-0.153024696,-0.171379062,-0.190135423,-0.193472647,-0.185616593,-0.187763684,-0.193769808,-0.135053745,-0.040626218,0.012369922,0.013008768,0.199624379,0.502080906,0.600867265,0.565408829
2,8,4,1,46,Vaseline,5,2,0,0,1,1,-0.015026799,0.013407299,0.021361294,0.012211604,-0.00496919,-0.010517786,-0.014835263,0.044290966,0.192369,0.250816417,0.240585318,0.192846259,0.149728099,0.113131281,0.083452385,0.057942962
2,8,1,1,46,Vaseline,3,2,0,0,1,1,0.080620196,0.059255469,0.045491994,0.033047425,0.022791096,0.015523453,0.010259773,0.007536375,0.004714842,0.001439163,0.002406284,0.004798984,0.005814422,0.006978165,0.006323851,0.003572625
2,8,4,1,46,Vaseline,6,2,0,0,1,1,0.002905588,0.000415069,-0.002120607,-0.004273488,-0.006038751,-0.007695472,-0.00991146,-0.011552503,-0.013480812,-0.011511396,-0.002287142,0.003203079,0.003499157,0.000275713,-0.00311338,-0.006476994
